file,rank,score,inlier_weight_frac,mae_in_deg_weighted,mae_all_deg_weighted,dir_vx,dir_vy,dir_vz,dir_az_deg,dir_el_deg,Lx,Ly,Lz,num_inliers,angle_thresh_deg,n_iters,N
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-50_points.json.gz,2,0.13250659,0.281522551,2.12459184,5.076970302,-0.466538267,0.072828676,-0.881497606,171.1274845,-61.82354976,0.061860761,1.51E-05,0.00150344,173056,4,600,416751
Getting-Up_1885-1886_0_ev-25_points.json.gz,1,0.735639192,0.544085082,0.739607613,15.92783553,-0.956770179,0.059715118,-0.284648784,176.4286178,-16.53785584,0.053170869,1.38E-05,0.000128733,178422,4,600,416751
Getting-Up_1885-1886_0_ev-25_points.json.gz,2,0.116243335,0.200900026,1.728270357,16.24646617,-0.727158963,0.502418158,-0.467777551,145.3581234,-27.89012898,0.05911926,-0.002269285,0.002289213,84654,4,600,416751
Getting-Up_1885-1886_0_ev-25_points.json.gz,3,0.043792602,0.087573025,1.999720908,88.07037028,0.987037138,-0.062820686,-0.147686323,-3.641718982,-8.492869317,0.180583689,-0.000925328,-0.00091474,44677,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-00_points.json.gz,1,0.256785983,0.30450472,1.185829769,11.28894979,-0.808330652,-0.284289024,-0.515539821,-160.6232814,-31.03354422,0.055330139,0.000311158,0.000671881,118991,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-00_points.json.gz,2,0.125427613,0.261751845,2.086874753,9.3806563,-0.42985008,-0.600232776,-0.674499461,-125.6079269,-42.41529256,0.061710902,0.000901231,0.001205377,106128,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-00_points.json.gz,3,0.08182702,0.168185143,2.055373176,11.97283769,0.095263997,-0.658506526,-0.746521216,-81.76831446,-48.28992679,0.073601414,0.000462227,0.000754376,72144,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-25_points.json.gz,1,0.284522448,0.30996524,1.089421793,12.64591474,-0.844562193,-0.271541879,-0.461497248,-162.1764714,-27.48376443,0.054908644,0.000266342,0.000516652,120784,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-25_points.json.gz,2,0.105903465,0.272386848,2.57202861,10.55507116,-0.499587526,-0.656832164,-0.56478652,-127.2566729,-34.38746819,0.063553833,0.004730777,0.003974211,91059,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-25_points.json.gz,3,0.08478547,0.126813337,1.495695584,15.9323311,0.24915442,-0.347581567,-0.903940888,-54.36617993,-64.68101412,0.079726705,8.34E-05,0.000479421,59628,4,600,416751
Getting-Up_1885-1886_0_ev-50_points.json.gz,1,0.813908179,0.684060153,0.840462545,3.043491955,-0.936124902,0.101294655,-0.33676336,173.8242614,-19.67980266,0.053497073,-1.47E-05,8.75E-05,215012,4,600,416751
Getting-Up_1885-1886_0_ev-50_points.json.gz,2,0.131226566,0.251695169,1.918018932,5.82999237,-0.601931065,0.297045874,-0.74124405,153.7342048,-47.83749767,0.061769117,-0.002193376,0.005525452,93188,4,600,416751
Getting-Up_1885-1886_0_ev-50_points.json.gz,3,0.085755746,0.142165278,1.657792024,4.412777447,-0.781131755,0.613639109,-0.115239861,141.8476386,-6.617460036,0.058318819,-0.002499255,-5.00E-05,70469,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-50_points.json.gz,1,0.329606479,0.279575922,0.848210246,12.15156024,-0.920596128,-0.139347965,-0.36480805,-171.3926444,-21.39577023,0.053812635,6.01E-05,0.000302768,109596,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-50_points.json.gz,2,0.117596339,0.257639277,2.190877383,9.968669814,-0.644605755,-0.555030672,-0.525760756,-139.270267,-31.71947112,0.060668125,0.002593767,0.002691222,101210,4,600,416751
Girl-Playing-the-Mandolin_1890_0_ev-50_points.json.gz,3,0.114933166,0.222523685,1.936112764,12.09101984,0.146828888,-0.324091955,-0.93456176,-65.62723927,-69.15745915,0.07621991,0.000272713,0.000932254,110165,4,600,416751
Girl-with-Dog_1886_0_ev-00_points.json.gz,1,0.280791426,0.321743097,1.14584274,13.79442407,-0.877363105,0.291454045,-0.381167314,161.6238644,-22.40600752,0.054898389,-0.000138998,0.000474983,129846,4,600,416751
Girl-with-Dog_1886_0_ev-00_points.json.gz,2,0.113011274,0.232833951,2.060270877,12.09901999,-0.469925584,0.649921984,-0.597303407,125.8687812,-36.67701152,0.062536565,-0.000757292,0.000655548,93614,4,600,416751
Girl-with-Dog_1886_0_ev-00_points.json.gz,3,0.070272175,0.131301597,1.868471071,14.03968317,0.02831589,0.811085214,-0.584242232,88.00055242,-35.74947522,0.071460934,-0.00048657,0.000248419,54332,4,600,416751
Girl-with-Dog_1886_0_ev-25_points.json.gz,1,0.320421012,0.332209054,1.036788229,17.43641124,-0.834529447,0.304440322,-0.459213123,159.9577894,-27.33634343,0.054955564,-0.000313995,0.00069951,105446,4,600,416751
Girl-with-Dog_1886_0_ev-25_points.json.gz,2,0.062667232,0.136743294,2.182053148,16.14422241,-0.378672486,0.480953897,-0.790753121,128.2146442,-52.25594758,0.06614566,-0.001234375,0.001207869,55203,4,600,416751
Girl-with-Dog_1886_0_ev-25_points.json.gz,3,0.042315742,0.085075365,2.010488748,49.06363737,0.790332387,0.004888809,-0.61265881,0.354413627,-37.78200154,0.121890369,0.0005454,0.000254673,46333,4,600,416751
Girl-with-Dog_1886_0_ev-50_points.json.gz,1,0.505394805,0.517524016,1.023998477,9.250946261,-0.80137373,0.337048314,-0.494164526,157.1889537,-29.61467332,0.055329124,-0.000499391,0.00083321,119913,4,600,416751
Girl-with-Dog_1886_0_ev-50_points.json.gz,2,0.069254923,0.145329855,2.098475887,10.15880514,-0.385015162,0.529720483,-0.755750974,126.0106673,-49.09103158,0.064395446,-0.000939188,0.00191895,82962,4,600,416751
Girl-with-Dog_1886_0_ev-50_points.json.gz,3,0.025526838,0.05124756,2.007594279,70.95273421,0.80733814,0.022752245,-0.589650288,1.614271119,-36.13219553,0.133068047,0.000128273,0.000709802,36955,4,600,416751
Interior_1872_0_ev-00_points.json.gz,1,0.312742016,0.316572228,1.012246193,8.028639316,-0.837855037,0.189389975,-0.511986694,167.2628333,-30.79625328,0.054865303,-0.000238046,0.000534319,128026,4,600,416751
Interior_1872_0_ev-00_points.json.gz,2,0.173786583,0.350451884,2.016563675,6.272264265,-0.444548338,0.29276373,-0.846561382,146.6325206,-57.839613,0.061557724,-0.000372153,0.001220885,146168,4,600,416751
Interior_1872_0_ev-00_points.json.gz,3,0.065915395,0.140444514,2.130677475,11.48743105,0.094504059,0.292274555,-0.951653596,72.08190423,-72.11103763,0.074977948,-0.000871013,0.002818182,60544,4,600,416751
Interior_1872_0_ev-25_points.json.gz,1,0.46121276,0.374720083,0.812465861,5.972776054,-0.874436086,0.178468966,-0.451121226,168.4645854,-26.81564342,0.053962267,-0.000117626,0.000334638,127154,4,600,416752
Interior_1872_0_ev-25_points.json.gz,2,0.169150492,0.36469471,2.156035942,4.785090688,-0.507148022,0.330855121,-0.795823959,146.8802244,-52.73315004,0.061106181,-0.00079823,0.001285951,146440,4,600,416752
Interior_1872_0_ev-25_points.json.gz,3,0.108204513,0.187865341,1.736205155,9.300654855,-0.013923906,0.247288497,-0.968841847,93.22271167,-75.65971992,0.071424206,-0.000677072,0.00266302,101757,4,600,416752
Interior_1872_0_ev-50_points.json.gz,1,0.543391881,0.457060236,0.841123521,4.701337854,-0.833885979,0.277793872,-0.476932635,161.5754482,-28.48525849,0.054467312,-0.00031109,0.000514065,122818,4,600,416751
Interior_1872_0_ev-50_points.json.gz,2,0.167818185,0.346181014,2.062832742,4.429077693,-0.449863772,0.30419605,-0.839694796,145.9336025,-57.1079048,0.061459779,-0.000610638,0.00152442,157433,4,600,416751
Interior_1872_0_ev-50_points.json.gz,3,0.027548201,0.063498596,2.304998775,8.60307027,-0.417141293,-0.237172504,-0.877349614,-150.3788966,-61.32428316,0.066286603,0.002650345,0.009077405,45141,4,600,416751
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-00_points.json.gz,1,0.326270674,0.357779604,1.096571975,7.628519673,-0.836908586,0.067923887,-0.543111742,175.3600182,-32.89572089,0.055010233,1.44E-05,0.000559065,144329,4,600,416751
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-00_points.json.gz,2,0.163931373,0.369032408,2.251138612,6.098506778,-0.500457832,0.388942687,-0.773476273,142.1465864,-50.66708974,0.061346054,-0.000864491,0.001867538,148953,4,600,416751
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-00_points.json.gz,3,0.10014991,0.207122009,2.068118771,9.239714133,0.015064803,0.492692622,-0.870073004,88.24864282,-60.46712412,0.071288334,-0.000659444,0.001284764,89440,4,600,416751
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-50_points.json.gz,1,0.33360874,0.336997231,1.010156079,6.91857489,-0.7956573,0.263227797,-0.545564468,161.6942034,-33.06324581,0.055137961,-0.000159457,0.000497671,142319,4,600,416752
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-50_points.json.gz,2,0.216690844,0.458078114,2.113969788,5.826197752,-0.391193059,0.542284764,-0.743569247,125.8059041,-48.03635485,0.062120812,-0.001206821,0.001524355,150232,4,600,416752
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-50_points.json.gz,3,0.083031786,0.182777316,2.201292321,7.587402215,-0.473578918,0.023304591,-0.880443016,177.1827748,-61.69585041,0.063691298,-0.000145265,0.007675647,108252,4,600,416752
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-25_points.json.gz,1,0.378166502,0.396357319,1.048101666,5.95182642,-0.824815159,0.126053996,-0.551171792,171.3108916,-33.44743998,0.054978581,-6.01E-05,0.000513132,151495,4,600,416751
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-25_points.json.gz,2,0.208418952,0.427418857,2.050766714,5.093105106,-0.441904225,0.377365472,-0.813827965,139.5042279,-54.47163801,0.061182859,-0.000450231,0.001115273,160858,4,600,416751
Jeannie's-Head-(Tete-de-Jeannie)_1888_0_ev-25_points.json.gz,3,0.070848789,0.12644023,1.784648134,10.4003595,0.001618357,0.647172274,-0.762342068,89.85672308,-49.67110677,0.070852209,-0.000495187,0.000682389,64691,4,600,416751
